Age	Status	genotype_RNAi	males
5	0	control	no
6	0	control	no
7	0	control	no
10	0	control	no
10	0	control	no
11	0	control	no
11	0	control	no
13	1	control	no
13	1	control	no
13	1	control	no
13	1	control	no
13	0	control	no
14	1	control	no
14	1	control	no
14	1	control	no
14	0	control	no
17	1	control	no
17	1	control	no
17	1	control	no
17	1	control	no
17	1	control	no
17	1	control	no
18	1	control	no
18	1	control	no
18	1	control	no
18	1	control	no
18	1	control	no
18	1	control	no
18	1	control	no
18	1	control	no
18	1	control	no
19	1	control	no
19	1	control	no
19	1	control	no
19	1	control	no
19	1	control	no
19	1	control	no
19	1	control	no
20	1	control	no
20	1	control	no
20	1	control	no
20	1	control	no
20	1	control	no
20	1	control	no
20	1	control	no
20	0	control	no
23	1	control	no
23	1	control	no
23	1	control	no
23	1	control	no
23	1	control	no
23	1	control	no
23	1	control	no
23	1	control	no
23	1	control	no
23	1	control	no
23	1	control	no
23	1	control	no
23	1	control	no
23	1	control	no
23	1	control	no
23	1	control	no
23	1	control	no
23	1	control	no
23	1	control	no
23	1	control	no
23	1	control	no
23	1	control	no
23	1	control	no
24	1	control	no
24	1	control	no
24	1	control	no
24	1	control	no
24	1	control	no
24	1	control	no
24	1	control	no
24	1	control	no
24	0	control	no
26	1	control	no
26	1	control	no
26	1	control	no
26	1	control	no
26	1	control	no
26	1	control	no
26	1	control	no
26	1	control	no
26	1	control	no
26	1	control	no
26	1	control	no
28	1	control	no
28	1	control	no
28	1	control	no
28	1	control	no
28	1	control	no
28	1	control	no
28	1	control	no
28	1	control	no
28	1	control	no
31	1	control	no
31	1	control	no
31	1	control	no
31	1	control	no
31	1	control	no
31	1	control	no
31	1	control	no
31	1	control	no
33	1	control	no
33	1	control	no
33	1	control	no
35	1	control	no
35	0	control	no
5	0	daf-2	no
5	0	daf-2	no
6	0	daf-2	no
6	0	daf-2	no
7	0	daf-2	no
7	0	daf-2	no
7	0	daf-2	no
7	0	daf-2	no
7	0	daf-2	no
7	0	daf-2	no
7	0	daf-2	no
7	0	daf-2	no
10	0	daf-2	no
10	0	daf-2	no
10	0	daf-2	no
10	0	daf-2	no
11	0	daf-2	no
11	0	daf-2	no
11	0	daf-2	no
11	0	daf-2	no
11	0	daf-2	no
13	1	daf-2	no
13	0	daf-2	no
13	0	daf-2	no
17	0	daf-2	no
18	0	daf-2	no
18	0	daf-2	no
18	1	daf-2	no
23	1	daf-2	no
23	0	daf-2	no
24	0	daf-2	no
26	1	daf-2	no
28	1	daf-2	no
28	1	daf-2	no
28	1	daf-2	no
28	1	daf-2	no
28	1	daf-2	no
28	1	daf-2	no
31	1	daf-2	no
31	1	daf-2	no
31	1	daf-2	no
31	1	daf-2	no
31	1	daf-2	no
31	1	daf-2	no
31	1	daf-2	no
31	1	daf-2	no
31	1	daf-2	no
31	1	daf-2	no
31	1	daf-2	no
31	0	daf-2	no
31	0	daf-2	no
33	1	daf-2	no
33	1	daf-2	no
33	1	daf-2	no
33	1	daf-2	no
33	1	daf-2	no
33	1	daf-2	no
33	1	daf-2	no
33	1	daf-2	no
33	1	daf-2	no
35	1	daf-2	no
35	1	daf-2	no
35	1	daf-2	no
35	1	daf-2	no
35	1	daf-2	no
35	1	daf-2	no
35	1	daf-2	no
38	1	daf-2	no
38	1	daf-2	no
38	1	daf-2	no
38	1	daf-2	no
40	1	daf-2	no
40	1	daf-2	no
40	1	daf-2	no
40	1	daf-2	no
40	1	daf-2	no
40	1	daf-2	no
40	1	daf-2	no
42	1	daf-2	no
42	1	daf-2	no
45	1	daf-2	no
45	1	daf-2	no
45	1	daf-2	no
45	1	daf-2	no
45	1	daf-2	no
45	1	daf-2	no
45	1	daf-2	no
45	1	daf-2	no
45	1	daf-2	no
45	1	daf-2	no
47	1	daf-2	no
47	1	daf-2	no
49	1	daf-2	no
49	1	daf-2	no
49	1	daf-2	no
52	1	daf-2	no
52	1	daf-2	no
52	1	daf-2	no
55	1	daf-2	no
55	1	daf-2	no
57	1	daf-2	no
60	1	daf-2	no
60	1	daf-2	no
60	1	daf-2	no
62	1	daf-2	no
6	0	delm-2	no
6	0	delm-2	no
6	0	delm-2	no
6	0	delm-2	no
7	0	delm-2	no
7	0	delm-2	no
11	0	delm-2	no
11	0	delm-2	no
13	0	delm-2	no
13	0	delm-2	no
13	0	delm-2	no
14	1	delm-2	no
14	1	delm-2	no
17	1	delm-2	no
17	1	delm-2	no
17	1	delm-2	no
17	1	delm-2	no
17	1	delm-2	no
17	1	delm-2	no
17	1	delm-2	no
17	0	delm-2	no
