GeneID	GeneName	pheromone1	pheromone2	pheromone3	pheromone4
F35E8.11	cdr-1	1.73	1.21	1.38	1.66
ZK355.3	ZK355.3	2.5	1.08	2.62	3.62
F49A5.6	thn-4	1.56	1.73	1.082	1.17
F20E11.17	F20E11.17	1.62	0.82	2.39	2.26
Y51A2D.4	hmit-1.1	0.93	2.42	2.44	1.12
Y119D3B.19	fbxa-78	0.93	0.84	0.95	0.77
T08G5.1	T08G5.1	0.87	1.18	1.18	2.07
C33G8.3	C33G8.3	1.32	2.26	0.66	2.64
F47G4.3	gpdh-1	1.05	0.95	1.66	0.81
F14H3.10	cyp-35D1	0.88	0.71	0.99	0.78
F13E9.14	F13E9.14	0.71	0.83	1.05	0.76
F46C5.1	F46C5.1	-1.85	-2.64	-2.21	-2.94
K12G11.3	sodh-1	-1.18	-2.56	-2.57	-3.45
K08C7.5	fmo-2	-1.05	-2.16	-2.06	-2.39
C23G10.11	C23G10.11	-1.02	-2.72	-2.66	-3.17
F28F8.2	acs-2	-1.08	-1.98	-2.37	-3.03
C07G1.7	C07G1.7	-0.94	-1.68	-2.22	-1.73
C05E4.14	srh-2	-0.95	-1.29	-1.64	-2.01
C27H5.6	C27H5.6	-0.27	-2.88	-2.74	-3.21
C06A12.5	lact-6	-0.98	-0.99	-1.23	-2.06
Y116F11B.2	Y116F11B.2	-1.49	-1.6	-0.642222222	-1.151111111
B0564.3	best-1	-0.63	-1.61	-1.26	-1.97
C05E4.9	icl-1	-0.82	-1.36	-0.71	-1.28
W05B2.1	col-94	-0.68	-0.89	-1.4	-1.09
C35C5.8	C35C5.8	-0.45	-1.37	-1.1	-1.56
