	acbp-3	col-43	ins-11	cyp-25A3	delm-2	acd-1	sri-40	nhx-2	hmit-1.1	C33G8.3
NHR_28/PPARD (L4)	305.5	NA	104	312.5	NA	61	NA	222	175.5	NA
PQM_1 (L3)	92	NA	139.5	84.75	NA	173.5	NA	130.5	167	NA
"CEH_60/PBX3,4 (adult)"	411.5	NA	815.5	277.5	195	NA	NA	653	NA	983
FOS_1/FOS (L1-4)	80.75	NA	47.375	98.875	NA	99	NA	110.875	31.75	NA
DVE_1/SATB2 (L4)	266	NA	257.5	245	NA	98.5	NA	254	269	NA
PHA_4/FOXA2 (YA)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BLMP_1/PRDM1 (L1)	333.5	246.25	64	59.25	NA	NA	NA	NA	NA	NA
DAF_16/FOXO	455.666667	135.333333	75.666667	135	NA	NA	56.666667	NA	30.333333	NA
HLH_30/TFEB (L4)	189.5	NA	264.5	NA	NA	59.5	NA	57	NA	NA
"ELT_3/GATA1,4 (L1)"	28.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAX_3/ROBO1,2 (L4)"	248	NA	57.5	NA	NA	NA	NA	182	NA	NA
MDL_1/MXD3. (L!)	116.5	NA	48.75	NA	NA	NA	NA	46.25	NA	NA
HPL_2/CBX3 (YA)-excluding all negative Palladino dataset)	NA	NA	NA	135	NA	NA	45.25	NA	217.6	NA
NHR_76/PPARD (L3/L4)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"STA_1/STAT5A,B (adult)"	NA	NA	362.5	NA	NA	NA	NA	253	NA	NA
