	gene	1	2	3	4	5	6	7	average.FC
2RSSE.1	2RSSE.1	-0.183333333	-0.21625	0.11	0.21	-0.36	-0.38	0.13	-0.098511905
pot-3	pot-3	-0.03	-0.13	-0.28	-0.54	0.27	-0.17	0.05	-0.118571429
nas-6	nas-6	-0.083333333	-0.2	-0.44	-0.35	0.14	-0.22	-0.06	-0.173333333
4R79.2	4R79.2	-0.59	-0.24	-0.07	-0.17	0.13	-0.37	-0.07	-0.197142857
sri-20	sri-20	0.18	0.1	0.22	0.3	-0.22	-0.17	0.05	0.065714286
spe-10	spe-10	-0.09125	0.12	-0.02	0.01	-0.2	-0.03	0	-0.030178571
AC3.12	AC3.12	0.023271805	0.010004527	0.014366823	0.010039133	0.039373646	-0.92	0.022240009	-0.114386294
ugt-49	ugt-49	-0.18	-0.83	-0.27	-0.25	0.19	0.21	-0.29	-0.202857143
abu-1	abu-1	0.1	0.18	-0.03	-0.13	-0.57	-0.33	-0.1	-0.125714286
AC3.5	AC3.5	-0.44	-0.41	0	0.14	-0.02	0.42	-0.65	-0.137142857
col-151	col-151	0.49	-0.184285714	0.56	1.23	-0.37	-0.35	-0.45	0.132244898
ugt-1	ugt-1	0.22	0.13	2.02	2.31	1.13	0.18	0.36	0.907142857
ugt-2	ugt-2	0.07	0.37	0.81	0.6	0.3	-0.07	0.2	0.325714286
AC3.9	AC3.9	-0.53	0.01	-0.17	-0.29	-0.19	-0.07	0.03	-0.172857143
tkr-3	tkr-3	0.68	-0.38	0.2	-0.02	-0.09	-0.42	-0.33	-0.051428571
soc-2	soc-2	0.04	0.35	0.29	0.3	0.03	0.32	0.05	0.197142857
AC7.3	AC7.3	-0.063333333	0.003333333	0.25	0.85	0.26	0.66	-0.12	0.262857143
AC8.3	AC8.3	0.32	0.451666667	-0.39	0.15	0.07	-0.2	0.302	0.10052381
AC8.4	AC8.4	0.37	-0.03	-0.42	-0.17	-0.23	-0.51	-0.6	-0.227142857
AC8.7	AC8.7	0.023271805	0.010004527	0.41	0.010039133	0.05	0.25	0.022240009	0.110793639
AC8.9	AC8.9	0.18	0.29	0.03	0.24	-0.1	-0.11	0.1	0.09
acs-10	acs-10	0.305	-0.1825	-0.17	0.08	0.29	0.97	-0.03	0.180357143
AH10.2	AH10.2	0.178	0.2	-0.12	0.15	-0.13	-0.15	0.07	0.028285714
AH10.4	AH10.4	0.53	0.36	0.17	-0.07	-0.12	0.18	0.12	0.167142857
gcy-1	gcy-1	0.023271805	0.010004527	0.014366823	0.010039133	-0.13	0.009050309	0.022240009	-0.005861056
sra-6	sra-6	0.023271805	0.010004527	0.014366823	0.010039133	0.22	0.009050309	0.01	0.042390371
sra-7	sra-7	0.006666667	0.24	0.02	-0.4	-0.13	-0.04	0.31	0.000952381
sra-16	sra-16	-0.07	-0.1	-0.15	-0.26	-0.24	-0.2	0.18	-0.12
sra-9	sra-9	0.023271805	0.010004527	0.014366823	0.010039133	0.33	0.009050309	0.31	0.1009618
sra-15	sra-15	-0.59	0.116666667	-0.03	0.16	-0.12	-0.3	0.14	-0.089047619
sfxn-1.1	sfxn-1.1	-0.2575	0.34	0.12	-0.07	-0.15	0.13	0.03	0.020357143
AH6.3	AH6.3	0.372	0.1625	0.36	0.46125	0.26	1.18	-0.02	0.396535714
sra-1	sra-1	0.023271805	0.010004527	0.014366823	0.010039133	-0.61	0.009050309	0.022240009	-0.074432485
mex-6	mex-6	0.322	0.43	0.17	-0.03	1.77	1.34	1.53	0.790285714
sra-3	sra-3	0.023271805	0.010004527	0.014366823	0.010039133	1.21	0.009050309	0.022240009	0.185567515
sra-4	sra-4	0.63	0.09	0.34	0.5	-0.09	0.32	0.09	0.268571429
sra-5	sra-5	0.59	0.5	0.55	0.51	0.12	0.59	0.6	0.494285714
AH9.1	AH9.1	0.73	-0.6	-0.29	-0.19	-0.22	-0.24	-0.26	-0.152857143
crn-4	crn-4	0.26	0.05	0.51	0.55	0.52	0.39	0.04	0.331428571
AH9.3	AH9.3	0.21	0.18	0.11	-0.03	0.2	0.12	0.43	0.174285714
AH9.4	AH9.4	0.26	-0.385	-0.02	0.35	0.11	-0.43	-0.14	-0.036428571
AH9.6	AH9.6	0.22	-0.18	0.35	0.01	0.06	-0.25	0.08	0.041428571
lin-24	lin-24	0.29	0.07	0.31	0.27	0.2	-0.07	0.16	0.175714286
B0001.2	B0001.2	0.13	0.25	0.16	-0.06	0.43	0.66	0.19	0.251428571
B0001.3	B0001.3	-0.09	-0.41	0	0.05	0.07	0.01	-0.22	-0.084285714
B0001.4	B0001.4	0.18	-0.03	0.1	0.07	-0.3	-0.02	-0.4	-0.057142857
B0001.5	B0001.5	0.2	-0.03	-0.17	-0.01	-0.13	0.03	0.01	-0.014285714
B0001.6	B0001.6	-0.15	-0.23	-0.14	-0.12	-0.45	-0.32	-0.39	-0.257142857
B0001.7	B0001.7	0.11	0.03	0.06	0.16	-0.06	0.17	0.31	0.111428571
B0001.8	B0001.8	-0.156	-0.34	-0.22	-0.1	0.13	0	0.1	-0.083714286
amx-2	amx-2	0.02	0.08	0.13	0.37	-0.35	0.06	-0.06	0.035714286
B0019.2	B0019.2	-0.22	-0.44	0.01	0.13	0.22	-0.24	-0.2	-0.105714286
col-149	col-149	2.11	0.04	-0.73	-0.03	1.54	1.34	1.48	0.821428571
B0024.10	B0024.10	-0.19	-0.12	-0.04	-0.12	0.15	0.01	0.07	-0.034285714
B0024.11	B0024.11	0	-1.1	-0.31	-0.03	0.41	0.6	-0.04	-0.067142857
gna-1	gna-1	-0.23	0.01	-0.05	-0.14	0.25	-0.11	0.01	-0.037142857
B0024.13	B0024.13	0.45	0.3	0.27	0.08	-0.07	0.31	0.29	0.232857143
crm-1	crm-1	0.42	0.41	0.57	0.69	0.38	0.45	-0.1	0.402857143
B0024.15	B0024.15	0.63	0.61	0.65	0.64	0.35	-0.04	0.46	0.471428571
col-150	col-150	0.69	0.79	0.87	1.06	0.97	0.72	1.71	0.972857143
B0024.3	B0024.3	0.592	0.36	0.74	0.58	1.11	0.8	0.74	0.703142857
B0024.4	B0024.4	0.76	3.82	0.99	0.69	0.83	0.66	0.95	1.242857143
che-12	che-12	0.293333333	-0.16	0.67	0.77	0.38	-0.09	0.44	0.329047619
trx-2	trx-2	-0.32	-0.64	-0.13	-0.19	-0.05	-0.64	-0.53	-0.357142857
vps-34	vps-34	-0.22	-0.26	0.09	0.08	0.33	0.39	-0.11	0.042857143
csn-2	csn-2	-0.33	-0.08	0.07	-0.02	0.23	0.12	0.2	0.027142857
B0025.4	B0025.4	0.01	0.04	-0.14	-0.15	0.31	0.1	0.49	0.094285714
B0034.1	B0034.1	0.188333333	-1.95	0.51	0.5	0.23	0.17	-0.08	-0.061666667
casy-1	casy-1	-0.08	0.36	0.21	0.15	-0.18	-0.02	-0.23	0.03
B0034.4	B0034.4	0.1	-0.015	-0.21	0.4	0.02	0.09	-0.05	0.047857143
B0034.5	B0034.5	-0.121428571	0.06	0.14	-0.15	0.19	-0.46	-0.12	-0.065918367
B0034.7	B0034.7	0.228888889	0.06	0.38	0.33	0.74	-1.14	0.22	0.116984127
B0035.1	B0035.1	-0.13	0.08	-0.05	0.01	0.03	0.19	-0.24	-0.015714286
his-45	his-45	0.74	0.43	0.46	0.61	1.11	1.15	0.55	0.721428571
B0035.11	B0035.11	-0.27	-0.21	-0.11	-0.15	0.06	0.49	-0.25	-0.062857143
B0035.12	B0035.12	-0.15	-0.06	0.04	0.11	0.08	0.18	-0.09	0.015714286
B0035.13	B0035.13	0.17	0.02	0.12	0.13	0.39	0.15	0.28	0.18
dnj-1	dnj-1	-0.29	0.3	-0.12	-0.14	0.17	0.1	0.26	0.04
B0035.15	B0035.15	-0.11	-0.73	-0.03	-0.11	0.39	-0.3	-0.11	-0.142857143
B0035.16	B0035.16	-0.55	-0.07	-0.32	-0.51	0.01	-0.43	0.11	-0.251428571
B0035.18	B0035.18	0.1975	-0.01	0.21	0.01	0.51	0.63	0.44	0.283928571
dnj-2	dnj-2	-0.27	-0.35	-0.13	-0.21	0.12	-0.21	-0.14	-0.17
B0035.21	B0035.21	-0.01	-0.76	0.33	0.03	-0.1	-0.28	-0.01	-0.114285714
B0035.3	B0035.3	-0.18	-0.89	-0.71	-0.6	-0.07	-0.63	-0.05	-0.447142857
pfd-4	pfd-4	0.26	0.01	0.09	0.05	0.28	-0.26	0.2	0.09
gspd-1	gspd-1	-1.16	-0.48	-0.69	-0.71	-0.47	-0.85	-0.55	-0.701428571
B0035.6	B0035.6	0.021428571	-0.08375	-0.18	-0.03	0.52	0.88	0.23	0.193954082
his-47	his-47	0.66	0.3	0.2	0.24	0.41	0.41	0.39	0.372857143
his-48	his-48	0.78	0.24	0.33	0.44	-0.02	0.59	0.31	0.381428571
ain-2	ain-2	0.06	0.01	-0.21	0.02	-0.48	-0.13	-0.24	-0.138571429
lmd-2	lmd-2	0.47	0	0.41	0.22	0.29	0.11	-0.06	0.205714286
rpl-4	rpl-4	-0.07	0.05	-0.01	-0.28	-0.23	-0.44	0.61	-0.052857143
B0041.5	B0041.5	0.17	-0.21	0.09	-0.12	0.26	0.23	-0.17	0.035714286
ptps-1	ptps-1	-0.03	0.34	-0.24	-0.35	0.06	-0.46	0.48	-0.028571429
xnp-1	xnp-1	-0.27	-0.05	0.07	0.05	-0.12	-0.1	-0.15	-0.081428571
B0041.8	B0041.8	0.04	-0.61	-0.43	-0.3	0.44	-0.06	0.29	-0.09
bath-20	bath-20	0.373333333	0.14125	0.97	0.17	-0.1	0.33	0.35	0.31922619
bath-24	bath-24	0.28	0.37	0.49	0.65	0.14	0.16	0.13	0.317142857
math-1	math-1	0.023271805	0.010004527	0.014366823	0.010039133	-0.09	-0.16	0.14	-0.007473959
bath-14	bath-14	0.32	0.39	-0.6	-0.44	0.05	-0.14	0.45	0.004285714
tsp-20	tsp-20	-0.76	-0.06	0.23	-0.02	-0.07	-0.35	0.23	-0.114285714
B0198.2	B0198.2	0.02	0.08	-0.19	-0.05	-0.34	-0.35	0.07	-0.108571429
B0198.3	B0198.3	-0.22	-0.128888889	-0.24	-0.02	-0.64	-0.5	-0.3	-0.292698413
B0205.1	B0205.1	0.61	0.31	0.17	0.04	0.24	0.59	0.31	0.324285714
mrpl-9	mrpl-9	-0.16	-0.46	-0.25	-0.24	0.02	0.01	0	-0.154285714
B0205.12	B0205.12	0.42	-0.15	-0.2	-0.17	0.42	-0.33	0.57	0.08
B0205.13	B0205.13	0.71	0.19	0.82	0.99	1.46	0.46	0.74	0.767142857
B0205.14	B0205.14	0.44	-0.11	0.19	0.11	1.19	0.13	0.76	0.387142857
rpn-10	rpn-10	0.01	-0.05	-0.18	-0.1	-0.05	-0.07	0.06	-0.054285714
B0205.4	B0205.4	-0.09	-0.76	-2.05	-0.73	-1.06	-1.68	-1.2	-1.081428571
B0205.5	B0205.5	0.023271805	0.010004527	0.014366823	0.010039133	-0.11	-0.77	0.022240009	-0.114296815
B0205.6	B0205.6	-0.56	-0.62	-0.59	-0.65	-0.35	-0.39	-0.34	-0.5
kin-3	kin-3	-0.02	-0.25	-0.07	0.25	0.16	0.52	-0.15	0.062857143
B0205.8	B0205.8	0.1	-0.12	0.07	-0.03	-0.14	-0.2	-0.01	-0.047142857
B0205.9	B0205.9	-0.17	-0.14	-0.14	-0.23	0.22	0.44	0.12	0.014285714
B0207.1	B0207.1	0.023271805	0.010004527	0.014366823	0.010039133	0.039373646	0.34	0.022240009	0.065613706
B0207.10	B0207.10	0.023271805	0.54	0.14	0.02	-0.03	-0.52	0.04	0.030467401
B0207.11	B0207.11	-0.02	0.14	0.64	0.52	-0.05	0.56	0.16	0.278571429
avr-14	avr-14	-0.29	0.15	0.12	0.06	-0.09	0.02	0.13	0.014285714
B0207.2	B0207.2	0.45	-0.89	-0.44	-0.59	-0.21	-0.91	-0.24	-0.404285714
gpa-14	gpa-14	-0.058571429	-0.021428571	0.25	0.09	0.27	0.05	-0.17	0.058571429
air-2	air-2	-0.07	0.28	0.13	0.34	0.29	0.75	0.4	0.302857143
B0207.6	B0207.6	-0.33	-0.75	0.14	0.03	0.54	-0.05	0.02	-0.057142857
B0207.7	B0207.7	0.29875	0.32	0.06	-0.02	0.13	-0.021	0.184	0.135964286
B0207.9	B0207.9	0.023271805	0.010004527	0.014366823	0.010039133	0.039373646	1.6	0.022240009	0.245613706
otpl-1	otpl-1	0.25	0.15	0.19	0.44	0	0.03	0.06	0.16
sre-5	sre-5	0.22	-0.07	-0.22	0.17	-0.45	-0.49	-0.21	-0.15
B0212.3	B0212.3	-0.08	-0.07	-0.03	-0.16	0.08	-0.03	-0.26	-0.078571429
nstp-6	nstp-6	0.05	-0.21	-0.53	-0.32	-0.03	0.07	-0.16	-0.161428571
osm-9	osm-9	0.27	0.2	0.14	0.13	-0.13	0.04	0.18	0.118571429
B0212.6	B0212.6	-0.048	-0.16	0.25	0.2	0.26	0.308	0.245	0.150714286
cyp-34A5	cyp-34A5	0.24	0.36	0.38	0.44	0.26	0.54	-0.13	0.298571429
cyp-34A6	cyp-34A6	0.37	-0.52	-0.05	-0.05	-0.13	-0.18	-0.03	-0.084285714
cyp-34A7	cyp-34A7	0.6	-0.23	0.38	0.53	0.74	0.17	-1.18	0.144285714
cyp-34A8	cyp-34A8	-0.5	-0.19	-0.32	-0.35	-0.54	-0.84	-0.9	-0.52
cyp-34A9	cyp-34A9	-1.19	-1.62	-1.21	-1.01	-1.14	-1.28	-1.91	-1.337142857
cyp-34A10	cyp-34A10	0.86	0.28	0.74	0.83	0.74	0.28	-1	0.39
nlp-34	nlp-34	1.71	0.18	1.75	2.25	3.13	2.01	3.83	2.122857143
nlp-27	nlp-27	1.12	1.65	1.26	1.03	1.18	1.07	0.73	1.148571429
nlp-28	nlp-28	0.69	1.2	0.68	0.92	1.05	0.36	1.2	0.871428571
nlp-29	nlp-29	0.41	0.29	0.4	0.69	1.88	1.03	1.64	0.905714286
nlp-30	nlp-30	0.93	0.39	1.04	1.46	1.04	0.41	0.98	0.892857143
nlp-31	nlp-31	0.7	0.05	0.58	0.82	2.2	1.2	2	1.078571429
str-83	str-83	-0.0075	-0.2	0.25	-0.04	-0.16	-0.19	-0.23	-0.0825
str-82	str-82	-0.106666667	0.23	0.23	0.1	-0.43	-0.23	-0.4	-0.086666667
str-247	str-247	-0.16	-0.08	0.02	-0.03	-0.22	0.04	-0.14	-0.081428571
faah-1	faah-1	-0.45	-0.23	0.32	0.21	0.34	0.26	-0.38	0.01
faah-2	faah-2	-1.28	0.38	0.2	0.2	0.23	0.25	0	-0.002857143
pmk-1	pmk-1	0.44	-0.25	0.31	0.12	0.28	0.06	-0.22	0.105714286
B0218.5	B0218.5	-0.115714286	-0.088	-0.16	0.04	-0.35	0.07	-0.7	-0.186244898
clec-51	clec-51	2.46	1.89	2.11	2.08	2.73	2.39	2.43	2.298571429
