glp1hxfer6mUP	glp1hxfer6mDOWN	glp1hxWTmUP	glp1hxWTmDOWN
C50F7.5	F02H6.5	T05F1.10	K09A11.4
C29F7.2	C54D10.2	Y50D4B.3	F55A12.4
H29C22.1	F56A4.4	T26E3.1	F17B5.1
Y48G10A.7	W01A11.1	ZK1251.11	C23G10.6
Y48A6B.4	T22G5.7	F09C8.1	C30G12.2
K10C2.7	R13H4.6	M7.12	T10B5.8
F09C8.1	ZK849.5	W01A11.5	Y5H2B.5
F18C5.1	R07G3.2	F40B5.1	C49G7.8
R05H10.7	T22B7.7	ZC376.2	F08A8.2
Y47D3B.12	C10G11.5	D1022.3	K01D12.12
C24G7.2	C55B7.4	H29C22.1	F02D8.5
Y18D10A.12	R08H2.1	K02A2.1	C33C12.8
ZK1248.4	C56A3.2	E01G6.3	T22G5.7
T23F11.6	F41H10.8	T19H12.1	H39E23.3
R10E12.1	F16D3.6	F28A10.6	C06B3.3
C24G7.1	F48D6.3	K10C2.7	T26H5.8
W07B8.5	Y40H7A.10	F56A11.3	C03G6.14
K07C11.11	T16G1.3	C54D1.4	ZK816.5
F17C11.5	C17C3.3	T02B5.3	ZK384.2
C47B2.4	K07C6.4	F39G3.4	R08H2.1
R09E10.6	F37B1.5	C11E4.7	Y20C6A.2
B0495.4	R107.7	F43E2.5	T02B5.1
C33F10.9	F08H9.9	B0218.6	F11E6.5
H02F09.3	F49E12.12	ZK1320.9	C07A9.8
F44C4.3	C10E2.4	F55H12.5	H24K24.5
M7.12	Y53G8B.1	C24H11.1	T19B10.1
K08D8.4	F55A12.4	T04B2.6	F01D5.9
H06I04.7	C23H5.8	F15E11.1	F25D1.5
T27F7.1	F44A2.7	Y39E4B.11	H04M03.4
C18B2.4	W02D7.2	K09C4.4	F35B12.2
B0213.3	K08F4.11	ZC513.8	F39G3.2
R08E3.1	F35E2.1	T05E7.1	F35E2.1
T04F8.7	D1005.5	C27A7.3	T07C4.4
Y27F2A.3	T05G5.6	K08E5.3	Y105E8A.4
C02F4.4	F08H9.6	ZC443.6	F13D11.4
F45H10.1	T16G1.8	Y58A7A.5	C31E10.7
Y41D4B.17	C33G3.4	F48C1.9	K09D9.2
F58G1.4	Y45G12C.2	F36G9.12	T23F4.3
Y105E8B.8	EGAP9.3	F44E7.5	F11E6.11
T05F1.10	Y51H4A.5	F48C1.7	F49C5.3
B0546.4	T10D4.13	F11D5.7	C56A3.7
F49F1.1	C14C10.4	Y50D4B.4	F38C2.1
T23F4.2	K07E3.3	F47B10.7	F23F1.2
C34H4.2	C56G2.9	F08F3.7	R08E5.1
T08B1.6	H12C20.3	M199.5	W07A12.8
Y41D4B.16	C03G6.14	C29F7.2	F44A2.7
W01A11.5	C33A12.6	Y38C9B.1	R12E2.11
Y50D4B.3	F49E11.10	H23L24.5	C52A10.2
C38C6.8	K07E8.3	ZC455.4	F26H9.5
C05D9.3	K02E7.6	F21C10.10	R05D8.9
C17D12.3	F14E5.1	B0496.7	T22D1.3
K11D12.6	F15B9.6	ZK1251.2	C03B1.13
T10B9.1	T16G1.7	F10D2.9	F22F7.1
C09B9.6	Y46C8AR.1	Y59E9AR.4	D1005.5
F59A6.12	M04C9.4	K06A4.5	F38E11.1
Y57G11C.24	T20B3.8	K04A8.10	R09E12.9
T12D8.5	F47G4.8	T22G5.2	W03G1.7
B0213.6	F25D1.5	ZK370.6	F11G11.1
R106.7	T07C4.4	T23B12.11	C45H4.17
B0238.12	C06B3.3	T10B9.7	T10H9.5
C35A5.2	C03G6.15	F41B5.3	F57G8.5
F07G6.8	Y40B10A.6	C33G8.2	K07C6.4
ZK354.11	B0286.3	M60.2	F32A5.5
Y46C8AL.2	F49C12.6	F47C10.6	Y61A9LA.4
F46A9.1	F57F4.2	R05H10.7	K03H6.7
T25C8.2	F31D5.2	C54F6.15	T10G3.4
Y59E9AL.2	D1086.3	T28A11.19	F54F7.8
K08D10.14	AC3.2	Y11D7A.1	F41H10.7
Y47D3A.4	W05E10.1	T11F9.12	C05G6.1
T09E11.11	F02C12.5	C37C3.10	C55A6.3
M6.1	C46F4.1	F10D2.10	R13.3
F54E7.7	T10B11.1	Y50D4B.6	ZK930.2
C10G11.9	T22D1.11	C05E11.4	C16E9.1
T05E7.1	C45E5.3	T23F11.6	K11G9.6
K10D11.3	K09A11.4	T19H12.9	F40E3.6
D1054.11	C05D10.3	R07C12.1	R107.7
R06B10.3	H10D18.2	C02C2.1	F11G11.2
C50B8.1	C44B7.6	T01B11.7	Y22D7AL.14
C47B2.6	K05F6.11	F27D9.7	F48D6.3
C34C12.3	F09F3.9	T24C4.4	T15B7.4
T02B5.3	C06E4.3	K08D8.6	Y9C9A.16
K01G5.8	R03D7.6	D2024.7	Y34F4.2
M7.9	Y22D7AR.10	C32E8.6	F52D10.5
Y51H4A.25	AC3.8	F15E11.15	D1086.18
T11F9.12	F38A1.14	Y41D4B.18	B0286.6
C16D2.1	Y73B6BL.31	F20H11.5	EGAP9.3
F48F7.8	C54G6.5	F52H3.1	Y73B6BL.31
C18D11.6	F28A12.4	C36A4.3	C24B9.9
B0507.3	C49G7.8	C24G7.1	C30G7.1
F55G11.4	Y38C1AB.1	F44C8.1	C14F5.2
K08E3.10	F35F10.6	ZK287.3	C06H5.12
F58D5.2	F53E10.4	T28D9.7	C08F11.8
	T19F4.1	R13A5.6	C49C8.4
	C06G8.1	F41G4.8	R09B5.6
	ZK6.7	Y37D8A.3	T07G12.5
	F23C8.5	T19H12.11	ZK617.2
	R05D8.7	F55B11.3	F38A1.14
	K08F4.7	K11D12.6	K03A1.5
	F47B8.6	C10C5.5	T01B6.3
	T19H12.10	R13D11.10	T27A10.7
	T13H5.5	Y43C5A.7	Y48C3A.1
	Y38E10A.4	R03G8.3	Y70C5A.3
	F11G11.3	F52H2.4	T12D8.5
	R06C7.1	T28A11.5	Y34D9A.11
	C24F3.2	K10D11.5	C29F3.7
	F57G8.5	F56D1.5	T19D12.3
