	ID	Antigen	Cell	P-value	Q-value	Q-value-NAs	enrichment	DEG	y.order	x.order
6	SRX043992	BLMP-1	L1	-1.60228	-0.313899	NA	1.80197	MCP-DOWN	7	5
12	SRX3923759	CEH-60	Adult	-0.10374	0	NA	1.10749	MCP-DOWN	3	5
18	SRX005631	DAF-16	Young adult	-1.93276	-0.563356	NA	2.49939	MCP-DOWN	8	5
24	SRX331298	DVE-1	L4	-1.02405	-0.0434511	NA	1.98055	MCP-DOWN	5	5
25	SRX044000	ELT-3	L1	-3.53591	-1.35359	-1.35359	3.87888	MCP-DOWN	10	5
36	SRX065660	FOS-1	L2	-0.10307	0	NA	1.09869	MCP-DOWN	4	5
42	SRX331310	HLH-30	L4	-1.53711	-0.305802	NA	2.10714	MCP-DOWN	9	5
44	SRX2202779	HPL-2	Young adult	-0.143221	0	NA	1.25797	MCP-DOWN	13	5
49	SRX043984	MDL-1	L1	-3.90496	-1.42161	-1.42161	3.70261	MCP-DOWN	12	5
60	SRX065656	NHR-28	L4	-2.03266	-0.640391	NA	1.99556	MCP-DOWN	1	5
66	SRX331054	NHR-76	L3	0	0	NA	0	MCP-DOWN	14	5
72	SRX065628	PHA-4	L3	-1.05257	-0.0434511	NA	1.6818	MCP-DOWN	6	5
78	SRX044016	PQM-1	L3	-0.710189	0	NA	1.67443	MCP-DOWN	2	5
79	SRX234917	SAX-3	L3	-2.95408	-1.06787	-1.06787	8.23668	MCP-DOWN	11	5
86	SRX2582951	STA-1	Whole worm	0	0	NA	0	MCP-DOWN	15	5
5	SRX043992	BLMP-1	L1	-1.8495	-0.12693	NA	0	MCP-UP	7	6
11	SRX3923759	CEH-60	Adult	-0.492727	-0.00351841	NA	1.43585	MCP-UP	3	6
17	SRX005631	DAF-16	Young adult	-0.658221	-0.0764597	NA	0	MCP-UP	8	6
23	SRX331298	DVE-1	L4	-0.158596	0	NA	0.512912	MCP-UP	5	6
30	SRX044002	ELT-3	L1	0	0	NA	0.777542	MCP-UP	10	6
35	SRX065660	FOS-1	L2	0	0	NA	0.8544	MCP-UP	4	6
41	SRX331310	HLH-30	L4	-0.337598	0	NA	0.409205	MCP-UP	9	6
43	SRX2202779	HPL-2	Young adult	-1.28792	-0.12693	NA	2.61085	MCP-UP	13	6
54	SRX043984	MDL-1	L1	-0.426416	0	NA	0	MCP-UP	12	6
59	SRX065656	NHR-28	L4	-0.527197	-0.0198024	NA	1.55126	MCP-UP	1	6
