	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
B0348.5	20.2276307082532	-0.610101659473504	0.343986711377019	-1.77361985011338	0.0761260520269981	0.192426715261515
ife-3	668.620591680399	0.350616844604828	0.138805106655466	2.52596502429201	0.0115380967540083	0.0465910853774637
egl-8	306.556686317003	-0.294561618214503	0.139407499557654	-2.11295388805595	0.0346047148379554	0.107191139711869
B0348.2	10.7703456201969	0.617691470488236	0.455944033103289	1.35475283289496	0.175496318839707	0.341303249843159
cyp-29A3	76.9172111459958	1.04088992845364	0.278459977112991	3.73802346479142	0.000185472640029784	0.00164457064684287
daam-1	19.5059383914544	-0.351520677754419	0.360834027541656	-0.974189380500813	0.329962516486831	0.518606937284577
rps-27	645.863897054303	0.0937335284940998	0.144165115488568	0.650181759827555	0.515574821746754	0.690218401779253
F56E10.1	55.17374363426	0.262026071963463	0.244367021698208	1.07226445754642	0.28360126608596	0.470282681787295
Y38C9A.1	897.975971759917	-0.015574216002556	0.186492962434612	-0.0835110118861276	0.933445221760166	0.972410484354477
cgp-1	1191.13133934493	-0.0250142337965314	0.106940848282872	-0.233907194474142	0.815057027752862	0.904620607008241
W03F9.1	335.866920133828	1.6016650172565	0.154895620762078	10.3402859898582	4.63153259353853e-25	1.48682722463027e-22
W03F9.2	86.9162614792167	0.476985310928492	0.189092417816695	2.52249834465006	0.011652449859526	0.0468786255385373
W03F9.10	888.471663904275	0.170108534639871	0.089333338011392	1.90419991490946	0.0568841528178733	0.155714856308616
W03F9.11	6.2880830917401	-0.121355069657051	0.445897111056438	-0.272159353913577	0.785499493428436	0.885855591101173
W03F9.9	22.521653815251	-0.31851722293281	0.288633868490284	-1.10353377654131	0.269795431879247	0.455299937311155
W03F9.4	57.7868376161428	0.581752860378325	0.270322651738257	2.15206848792537	0.0313919606168128	0.0996123205023674
ttb-1	357.112929170498	0.100401588461015	0.139956002284926	0.717379653761578	0.473139870368295	0.654931747700414
Y108G3AL.3	19.6584046816563	-0.258074366136104	0.345265321965147	-0.747466802247098	0.454781834690556	0.638611533453038
Y108G3AL.2	330.86786366973	0.0936896584553079	0.106347622140554	0.880975583370198	0.378331035661842	0.567115130926829
cul-3	179.634865299796	0.199609182914589	0.184251811935988	1.08334990477019	0.278653142147296	0.464970541385772
arid-1	258.235126820797	-0.399873227223676	0.205689256845799	-1.94406471857425	0.0518876471809836	0.145448108043539
trpp-1	92.2333953612389	0.165736252335028	0.160217833696968	1.03444322339607	0.300929006556573	0.488699594592384
lec-12	305.488580255469	-0.183269580612506	0.111196934837733	-1.64815316968896	0.0993212438875844	0.230476847365226
DC2.5	257.325805546965	-0.844370000365493	0.178928586289085	-4.71903354224961	2.36967749199008e-06	3.82971333802744e-05
kin-33	15.2865611609186	1.60444498720261	0.395030032848379	4.0615772315682	4.8742287577873e-05	0.000528384353060212
R02C2.1	16.5370632188179	1.58615915114814	0.370590984039883	4.28008024873437	1.86825936096126e-05	0.000231483890119103
R02C2.6	16.2924343944744	0.505016330871743	0.374562485609199	1.34828326454095	0.177567292703432	0.343957488951724
kin-34	27.0862318742758	0.214491277255484	0.329851515216138	0.650266157228161	0.515520313628374	0.690212754317426
nhr-204	17.1705881649669	-0.553944316636059	0.382696638605223	-1.44747630565809	0.147763567960505	0.302574716938552
lgc-26	57.761927448946	-0.580168131677133	0.392320695292406	-1.47881092850511	0.13919085420954	0.290969006892582
npr-5	11.6006333079692	0.778994053974278	0.408429044583382	1.90729348048421	0.0564825939786001	0.155156872801969
F33E11.2	259.361677870117	-0.156473104349995	0.151260022181545	-1.03446437527421	0.300919122826106	0.488699594592384
F33E11.3	604.880360361088	-0.262238866098748	0.127744302563115	-2.05284197288707	0.0400879063005837	0.119889389754076
phf-10	82.399310883897	0.400878628695374	0.214860506953985	1.86576227701644	0.0620746322492824	0.165622247926164
nhr-15	12.0680299183789	0.00444151658073183	0.398801010322589	0.0111371748460193	0.991114003837998	0.998536754936642
abt-4	173.614913883036	0.0811782377906942	0.260749367260872	0.311326691387435	0.75555227802761	0.865554977416984
wago-10	9.98354601560152	-0.429479440824081	0.480158177938115	-0.894454079004427	0.371078988968647	0.55986869463599
atg-9	82.3199920167894	0.30109507535658	0.230281541260791	1.30750851200702	0.191040065936292	0.361691174331115
T22H9.1	262.888158481206	-0.081671927748208	0.149862967135014	-0.544977383736361	0.585769072447621	0.747515053519766
ZK6.8	42.0350958311562	-1.50676235810397	0.348003077003641	-4.32973860770837	1.49286436999918e-05	0.000193456047947141
lipl-5	29677.2969297904	-1.33896491744902	0.18515605593829	-7.23154806178893	4.77519036943259e-13	3.35569969991221e-11
ZK6.6	17.1555933548767	-0.900592703815798	0.368883711046368	-2.44140003162839	0.0146304383593797	0.0554480659582073
scl-27	21.7827528978972	1.61819897978536	0.391526536781237	4.13305057963292	3.57979907713017e-05	0.000404517295715709
dod-19	16860.4405750302	0.0987316345106295	0.257568659559966	0.383321614824195	0.70148131466651	0.830338018072946
ZK6.11	11231.2356900193	0.832288168313998	0.269798235698968	3.08485400639401	0.00203652091597036	0.0118426751494777
Y39D8A.1	58.7451442335398	0.386154925271213	0.269233428935783	1.43427555336495	0.151493643773094	0.307791046518584
dod-20	7.47835310250624	1.00247261961717	0.467587477727834	2.14392529177325	0.0320388733088458	0.101128287259765
B0554.5	33.5890950045801	-0.320889746145887	0.398636927759279	-0.804967437285839	0.42083847077056	0.60755758377291
M02H5.8	390.952060580694	0.173726890823112	0.2354683936997	0.737792822609862	0.46064035549229	0.643766203752706
nhr-123	9.28697900530377	-0.832548689423016	0.419215511101212	-1.98596823680508	0.0470368509218071	0.135232143144825
nhr-98	15.0610197744734	-0.207701070008098	0.352401562634628	-0.589387483004564	0.555601371254685	0.723505980360692
nhr-203	25.9310818958768	-1.00686289155425	0.302710223846781	-3.32616083711756	0.000880511047772601	0.00592813086262535
nhr-202	9.05005619005572	-0.368355255565035	0.386740519818731	-0.952460982722179	0.340863244599502	0.529282623523578
nhr-201	9.52817427796242	-0.94589544737414	0.420807381935845	-2.24781096525144	0.0245882463706384	0.0827140735956266
nhr-99	48.4114785329009	-0.371762517512913	0.267518270761432	-1.38967150338843	0.164628651937808	0.326370987668735
nhr-55	113.886927451582	0.086576871050349	0.228324053692248	0.379184188657773	0.704551092051066	0.832424978748491
nhr-130	18.6455506710628	-0.25335143946421	0.325943699119611	-0.777285893694291	0.436990115684513	0.622728549641217
nhr-212	69.0175864223856	-0.309454143240313	0.198932658356582	-1.55557235195452	0.119809817447448	0.260759857497891
nhr-211	12.8805683039577	-0.484815313453149	0.375270133546564	-1.29191020045029	0.196388244802638	0.368586760276011
nhr-106	74.8855742607595	-0.0457099516376999	0.196056596277944	-0.233146716333371	0.815647479887419	0.904894218099687
nhr-131	90.9398855719946	-0.264922584772783	0.190904282817834	-1.3877246799412	0.16522089783822	0.3269924592917
pqn-60	73.4553353020335	-0.597842937553812	0.338011535747161	-1.7687057225201	0.0769429968102279	0.19379811518268
nhr-210	33.302609474607	-0.156681249099022	0.31070648935342	-0.50427414446694	0.614068743993581	0.770039152069366
